Expanded Polystyrene (EPS)_thickness(m),mineral_wool_thickness(m),Polyurethane (PUR)_thickness(m),R(m²K/W),Total_Cost
0.083,0.1,0.089,8.714,1962.48
0.083,0.1,0.094,8.937,2020.98
0.083,0.1,0.1,9.159,2091.1800000000003
0.1,0.05,0.05,6.246,1365.0
0.1,0.05,0.056,6.468,1435.1999999999998
0.1,0.05,0.061,6.69,1493.6999999999998
0.1,0.05,0.067,6.913,1563.9
0.1,0.05,0.072,7.135,1622.3999999999999
0.1,0.05,0.078,7.357,1692.6
0.1,0.05,0.083,7.579,1751.1000000000001
0.1,0.05,0.089,7.802,1821.3000000000002
0.1,0.05,0.094,8.024,1879.8000000000002
0.1,0.05,0.1,8.246,1950.0
0.1,0.056,0.05,6.4,1393.08
0.1,0.056,0.056,6.623,1463.2799999999997
0.1,0.056,0.061,6.845,1521.7799999999997
0.1,0.056,0.067,7.067,1591.98
0.1,0.056,0.072,7.289,1650.4799999999998
0.1,0.056,0.078,7.511,1720.6799999999998
0.1,0.056,0.083,7.734,1779.1800000000003
0.1,0.056,0.089,7.956,1849.38
0.1,0.056,0.094,8.178,1907.88
0.1,0.056,0.1,8.4,1978.08
0.1,0.061,0.05,6.555,1416.48
0.1,0.061,0.056,6.777,1486.6800000000003
0.1,0.061,0.061,6.999,1545.1800000000003
0.1,0.061,0.067,7.221,1615.38
0.1,0.061,0.072,7.444,1673.88
0.1,0.061,0.078,7.666,1744.08
0.1,0.061,0.083,7.888,1802.58
0.1,0.061,0.089,8.11,1872.7799999999997
0.1,0.061,0.094,8.332,1931.2799999999997
0.1,0.061,0.1,8.555,2001.48
0.1,0.067,0.05,6.709,1444.56
0.1,0.067,0.056,6.931,1514.7600000000002
0.1,0.067,0.061,7.153,1573.2600000000002
0.1,0.067,0.067,7.376,1643.46
0.1,0.067,0.072,7.598,1701.96
0.1,0.067,0.078,7.82,1772.1599999999999
0.1,0.067,0.083,8.042,1830.6599999999999
0.1,0.067,0.089,8.265,1900.86
0.1,0.067,0.094,8.487,1959.36
0.1,0.067,0.1,8.709,2029.56
0.1,0.072,0.05,6.863,1467.96
0.1,0.072,0.056,7.086,1538.1599999999999
0.1,0.072,0.061,7.308,1596.6599999999999
0.1,0.072,0.067,7.53,1666.8600000000001
0.1,0.072,0.072,7.752,1725.36
0.1,0.072,0.078,7.974,1795.56
0.1,0.072,0.083,8.197,1854.0600000000002
0.1,0.072,0.089,8.419,1924.2600000000002
0.1,0.072,0.094,8.641,1982.7600000000002
0.1,0.072,0.1,8.863,2052.96
0.1,0.078,0.05,7.018,1496.04
0.1,0.078,0.056,7.24,1566.2399999999998
0.1,0.078,0.061,7.462,1624.7399999999998
0.1,0.078,0.067,7.684,1694.94
0.1,0.078,0.072,7.907,1753.4399999999998
0.1,0.078,0.078,8.129,1823.6399999999999
0.1,0.078,0.083,8.351,1882.14
0.1,0.078,0.089,8.573,1952.3400000000001
0.1,0.078,0.094,8.795,2010.8400000000001
0.1,0.078,0.1,9.018,2081.04
0.1,0.083,0.05,7.172,1519.44
0.1,0.083,0.056,7.394,1589.64
0.1,0.083,0.061,7.616,1648.14
0.1,0.083,0.067,7.839,1718.3400000000001
0.1,0.083,0.072,8.061,1776.8400000000001
0.1,0.083,0.078,8.283,1847.04
0.1,0.083,0.083,8.505,1905.54
0.1,0.083,0.089,8.728,1975.7399999999998
0.1,0.083,0.094,8.95,2034.2399999999998
0.1,0.083,0.1,9.172,2104.44
0.1,0.089,0.05,7.326,1547.52
0.1,0.089,0.056,7.549,1617.7200000000003
0.1,0.089,0.061,7.771,1676.2200000000003
0.1,0.089,0.067,7.993,1746.42
0.1,0.089,0.072,8.215,1804.92
0.1,0.089,0.078,8.437,1875.12
0.1,0.089,0.083,8.66,1933.62
0.1,0.089,0.089,8.882,2003.8199999999997
0.1,0.089,0.094,9.104,2062.3199999999997
0.1,0.089,0.1,9.326,2132.52
0.1,0.094,0.05,7.481,1570.92
0.1,0.094,0.056,7.703,1641.12
0.1,0.094,0.061,7.925,1699.62
0.1,0.094,0.067,8.147,1769.8200000000002
0.1,0.094,0.072,8.369,1828.3199999999997
0.1,0.094,0.078,8.592,1898.52
0.1,0.094,0.083,8.814,1957.0200000000002
0.1,0.094,0.089,9.036,2027.2200000000003
0.1,0.094,0.094,9.258,2085.7200000000003
0.1,0.094,0.1,9.481,2155.92
0.1,0.1,0.05,7.635,1599.0
0.1,0.1,0.056,7.857,1669.1999999999998
0.1,0.1,0.061,8.079,1727.6999999999998
0.1,0.1,0.067,8.302,1797.9
0.1,0.1,0.072,8.524,1856.3999999999999
0.1,0.1,0.078,8.746,1926.6
0.1,0.1,0.083,8.968,1985.1000000000001
0.1,0.1,0.089,9.19,2055.3
0.1,0.1,0.094,9.413,2113.8
0.1,0.1,0.1,9.635,2184.0
0.117,0.05,0.05,6.722,1457.8200000000002
0.117,0.05,0.056,6.944,1528.0200000000002
0.117,0.05,0.061,7.167,1586.5200000000002
0.117,0.05,0.067,7.389,1656.7200000000003
0.117,0.05,0.072,7.611,1715.2200000000003
0.117,0.05,0.078,7.833,1785.42
0.117,0.05,0.083,8.056,1843.92
0.117,0.05,0.089,8.278,1914.12
0.117,0.05,0.094,8.5,1972.62
0.117,0.05,0.1,8.722,2042.8200000000002
0.117,0.056,0.05,6.877,1485.9
0.117,0.056,0.056,7.099,1556.1000000000001
0.117,0.056,0.061,7.321,1614.6000000000001
0.117,0.056,0.067,7.543,1684.8000000000002
0.117,0.056,0.072,7.765,1743.3000000000002
0.117,0.056,0.078,7.988,1813.5
0.117,0.056,0.083,8.21,1872.0
0.117,0.056,0.089,8.432,1942.1999999999998
0.117,0.056,0.094,8.654,2000.6999999999998
0.117,0.056,0.1,8.877,2070.9
0.117,0.061,0.05,7.031,1509.3000000000002
0.117,0.061,0.056,7.253,1579.5
0.117,0.061,0.061,7.475,1638.0
0.117,0.061,0.067,7.698,1708.2000000000003
0.117,0.061,0.072,7.92,1766.6999999999998
0.117,0.061,0.078,8.142,1836.9
0.117,0.061,0.083,8.364,1895.4000000000003
0.117,0.061,0.089,8.586,1965.6000000000001
0.117,0.061,0.094,8.809,2024.1000000000001
0.117,0.061,0.1,9.031,2094.3
0.117,0.067,0.05,7.185,1537.38
0.117,0.067,0.056,7.407,1607.58
0.117,0.067,0.061,7.63,1666.08
0.117,0.067,0.067,7.852,1736.2800000000002
0.117,0.067,0.072,8.074,1794.7799999999997
0.117,0.067,0.078,8.296,1864.98
0.117,0.067,0.083,8.519,1923.4800000000002
0.117,0.067,0.089,8.741,1993.6800000000003
0.117,0.067,0.094,8.963,2052.1800000000003
0.117,0.067,0.1,9.185,2122.38
0.117,0.072,0.05,7.34,1560.7800000000002
0.117,0.072,0.056,7.562,1630.9800000000002
0.117,0.072,0.061,7.784,1689.4800000000002
0.117,0.072,0.067,8.006,1759.6800000000003
0.117,0.072,0.072,8.228,1818.1800000000003
0.117,0.072,0.078,8.451,1888.38
0.117,0.072,0.083,8.673,1946.88
0.117,0.072,0.089,8.895,2017.08
0.117,0.072,0.094,9.117,2075.58
0.117,0.072,0.1,9.34,2145.78
0.117,0.078,0.05,7.494,1588.8600000000001
0.117,0.078,0.056,7.716,1659.0600000000002
0.117,0.078,0.061,7.938,1717.5600000000002
0.117,0.078,0.067,8.16,1787.7600000000002
0.117,0.078,0.072,8.383,1846.2600000000002
0.117,0.078,0.078,8.605,1916.46
0.117,0.078,0.083,8.827,1974.96
0.117,0.078,0.089,9.049,2045.1599999999999
0.117,0.078,0.094,9.272,2103.66
0.117,0.078,0.1,9.494,2173.86
0.117,0.083,0.05,7.648,1612.2600000000002
0.117,0.083,0.056,7.87,1682.46
0.117,0.083,0.061,8.093,1740.96
0.117,0.083,0.067,8.315,1811.16
0.117,0.083,0.072,8.537,1869.6599999999999
0.117,0.083,0.078,8.759,1939.8600000000001
0.117,0.083,0.083,8.981,1998.3600000000004
0.117,0.083,0.089,9.204,2068.5600000000004
0.117,0.083,0.094,9.426,2127.0600000000004
0.117,0.083,0.1,9.648,2197.26
0.117,0.089,0.05,7.802,1640.3400000000001
0.117,0.089,0.056,8.025,1710.54
0.117,0.089,0.061,8.247,1769.04
0.117,0.089,0.067,8.469,1839.2400000000002
0.117,0.089,0.072,8.691,1897.7399999999998
0.117,0.089,0.078,8.914,1967.94
0.117,0.089,0.083,9.136,2026.4400000000003
0.117,0.089,0.089,9.358,2096.6400000000003
0.117,0.089,0.094,9.58,2155.1400000000003
0.117,0.089,0.1,9.802,2225.34
0.117,0.094,0.05,7.957,1663.7400000000002
0.117,0.094,0.056,8.179,1733.9400000000003
0.117,0.094,0.061,8.401,1792.4400000000003
0.117,0.094,0.067,8.623,1862.64
0.117,0.094,0.072,8.846,1921.14
0.117,0.094,0.078,9.068,1991.3400000000001
0.117,0.094,0.083,9.29,2049.84
0.117,0.094,0.089,9.512,2120.04
0.117,0.094,0.094,9.735,2178.54
0.117,0.094,0.1,9.957,2248.7400000000002
0.117,0.1,0.05,8.111,1691.8200000000002
0.117,0.1,0.056,8.333,1762.0200000000002
0.117,0.1,0.061,8.556,1820.5200000000002
0.117,0.1,0.067,8.778,1890.7200000000003
0.117,0.1,0.072,9.0,1949.2200000000003
0.117,0.1,0.078,9.222,2019.42
0.117,0.1,0.083,9.444,2077.92
0.117,0.1,0.089,9.667,2148.12
0.117,0.1,0.094,9.889,2206.62
0.117,0.1,0.1,10.111,2276.82
0.133,0.05,0.05,7.198,1545.1800000000003
0.133,0.05,0.056,7.421,1615.38
0.133,0.05,0.061,7.643,1673.88
0.133,0.05,0.067,7.865,1744.08
0.133,0.05,0.072,8.087,1802.58
0.133,0.05,0.078,8.31,1872.7799999999997
0.133,0.05,0.083,8.532,1931.2800000000002
0.133,0.05,0.089,8.754,2001.48
0.133,0.05,0.094,8.976,2059.98
0.133,0.05,0.1,9.198,2130.1800000000003
0.133,0.056,0.05,7.353,1573.2600000000002
0.133,0.056,0.056,7.575,1643.46
